1,4:37.994,27:44.016
2,4:38.165,27:45.124
3,4:38.213,27:46.980
4,4:38.600,27:46.096
5,4:38.982,27:47.528
6,4:39.374,27:49.108
7,4:39.580,27:48.896
8,4:39.794,27:49.512
9,4:40.401,27:51.196
10,4:41.079,27:52.040
11,4:41.396,27:52.717
12,4:41.876,27:54.165
13,4:41.673,27:53.869
14,4:42.699,27:55.513
15,4:43.038,27:56.129
16,15:14.796,95:36.479
17,15:15.182,95:31.978
18,35:42.196,226:31.541
19,35:42.284,226:43.302
20,35:42.833,226:41.854
21,35:42.975,226:28.049
22,35:40.532,226:32.898
23,35:46.060,226:52.163
24,35:46.484,226:50.475
25,35:48.451,226:52.563
26,35:50.733,226:54.715
27,35:52.975,226:59.847
28,35:51.227,226:58.707
29,35:53.105,226:58.171
30,35:50.744,226:46.718
31,35:53.482,226:42.846
32,35:55.225,227:1.815
33,35:58.707,227:10.444
34,36:10.285,226:56.463
35,36:2.453,227:10.488
36,36:0.110,226:56.367
37,36:1.193,227:2.055
38,36:8.098,227:23.969
39,36:6.395,227:4.827
40,36:11.517,227:22.113
41,36:9.346,227:24.949
42,36:11.405,227:23.297
43,36:12.169,227:21.045
44,36:12.651,227:15.280
45,36:18.281,227:39.694
46,36:19.504,227:37.046
47,36:20.956,227:36.769
48,36:21.891,227:35.297
49,36:19.272,227:20.909
50,36:21.967,227:20.620
51,36:23.814,227:22.085
52,36:25.091,227:30.901
53,36:31.728,227:51.130
54,36:31.128,227:46.426
55,36:30.691,227:39.886
56,36:30.283,227:31.209
57,36:30.961,227:30.877
58,36:38.070,227:37.786
59,36:38.272,227:44.054
60,36:33.558,227:34.121
61,36:36.325,227:34.105
62,36:40.745,227:51.438
63,36:40.463,227:36.605
64,36:44.301,227:52.466
65,36:43.406,227:44.094
66,36:44.879,227:54.663
67,36:44.966,227:44.494
68,36:45.578,227:42.002
69,36:47.434,227:47.886
70,36:49.744,228:1.883
71,36:51.137,227:50.678
72,36:53.176,227:48.326
73,36:56.969,228:1.519
74,36:55.898,228:2.923
75,36:56.598,227:55.359
76,37:0.529,228:13.316
77,37:1.408,228:9.344
78,37:0.615,227:59.359
79,37:4.040,228:14.660
80,37:2.386,227:57.723
81,37:7.625,228:19.144
82,37:3.479,227:58.491
83,37:6.405,228:17.156
84,37:7.507,228:14.552
85,37:8.184,228:19.744
86,37:7.778,228:4.379
87,37:6.728,228:0.667
88,37:12.723,228:21.780
89,37:9.773,228:7.895
90,37:18.899,228:15.252
91,37:15.181,228:24.352
92,37:15.359,228:30.525
93,37:16.388,228:13.244
94,37:12.497,228:7.459
95,37:14.713,228:7.459
96,37:18.294,228:31.393
97,37:14.407,228:9.348
98,37:15.349,228:25.313
99,37:12.694,228:9.308
100,37:11.940,228:1.799
