1,0:17.047,0:16.873
2,0:17.165,0:17.025
3,0:18.201,0:18.065
4,0:19.947,0:19.665
5,0:22.013,0:21.873
6,0:24.678,0:24.490
7,0:28.396,0:28.222
8,0:32.892,0:32.714
9,0:38.388,0:38.194
10,0:44.889,0:44.695
11,0:52.387,0:52.151
12,1:1.635,1:1.396
13,1:11.708,1:11.420
14,1:23.230,1:22.957
15,1:35.660,1:35.354
16,2:9.049,2:8.616
17,2:25.540,2:25.021
18,3:13.763,3:12.992
19,3:33.519,3:32.681
20,3:55.174,3:54.331
21,4:18.941,4:18.044
22,4:45.828,4:44.782
23,5:12.683,5:11.655
24,5:43.273,5:42.141
25,6:16.912,6:15.715
26,6:52.307,6:51.046
27,7:28.971,7:27.596
28,8:10.778,8:9.279
29,8:54.596,8:53.045
30,9:39.942,9:38.328
31,10:25.075,10:23.283
32,11:20.605,11:18.686
33,12:11.482,12:9.466
34,13:10.005,13:7.185
35,14:9.057,14:6.749
36,15:12.553,15:10.125
37,16:21.329,16:18.797
38,17:30.210,17:27.481
39,18:43.213,18:40.338
40,19:56.536,19:53.311
41,21:9.256,21:6.063
42,22:23.627,22:20.016
43,23:43.019,23:39.477
44,25:2.270,24:58.254
45,26:25.325,26:21.391
46,27:58.361,27:54.229
47,29:25.211,29:20.426
48,30:58.040,30:53.524
49,32:31.701,32:26.970
50,34:6.654,34:1.744
51,35:35.533,35:30.397
52,37:9.108,37:3.723
53,38:34.140,38:28.560
54,40:8.661,40:2.906
55,41:38.852,41:32.876
56,43:20.364,43:13.806
57,44:52.973,44:46.552
58,46:34.538,46:27.902
59,48:18.304,48:11.465
60,49:53.173,49:46.119
61,51:42.498,51:35.237
62,53:26.946,53:19.396
63,55:22.138,55:13.959
64,57:13.936,57:5.850
65,59:8.525,59:0.237
66,61:12.019,61:3.013
67,63:18.291,63:9.393
68,65:27.892,65:18.701
69,67:41.178,67:31.733
70,69:53.752,69:43.973
71,72:13.355,72:3.374
72,74:25.683,74:15.242
73,76:45.407,76:34.755
74,79:26.700,79:15.625
75,81:50.154,81:38.814
76,84:29.068,84:17.368
77,87:4.370,86:52.362
78,89:13.457,89:1.166
79,91:40.871,91:28.103
80,93:55.857,93:42.831
81,96:4.921,95:51.595
82,98:22.573,98:8.928
83,100:28.429,100:14.532
84,102:45.636,102:31.452
85,104:53.524,104:39.044
86,107:8.894,106:54.137
87,109:17.618,109:2.605
88,111:3.463,110:48.251
89,113:1.789,112:46.323
90,115:9.548,114:53.819
91,116:52.038,116:36.009
92,118:38.482,118:22.168
93,120:5.547,119:49.053
94,121:23.415,121:6.810
95,122:35.407,122:18.611
96,123:44.931,123:27.959
97,124:54.984,124:37.871
98,125:45.713,125:28.446
99,126:44.090,126:26.762
100,127:27.036,127:9.561
